#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2002721684","SAMN06007558","PRJNA352974","GCA_002110925.1"," Chromosome",7.265,68.0481,"chromosome 1:NZ_CP018375.1/CP018375.1; chromosome 2:NZ_CP018376.1/CP018376.1",,2,6068,"2017-04-26T00:00:00Z"
"Burkholderia thailandensis 2002721723","Bacteria;Proteobacteria;Betaproteobacteria","2002721723","SAMN03081449","PRJNA177185","GCA_000567925.1","Complete",6.57713,67.5432,"chromosome 1:NZ_CP004097.1/CP004097.1; chromosome 2:NZ_CP004098.1/CP004098.1",,2,5545,"2014-02-10T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","2002734299","SAMN03010440","PRJNA238811","GCA_000959165.1","Complete",5.74234,68.4784,"chromosome 1:NZ_CP009337.1/CP009337.1; chromosome 2:NZ_CP009338.1/CP009338.1",,2,4813,"2015-03-20T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","2002734306","SAMN03120828","PRJNA238930","GCA_000959485.1","Complete",5.40916,68.3718,"chromosome I:NZ_CP009707.1/CP009707.1; chromosome II:NZ_CP009708.1/CP009708.1",,2,4590,"2015-03-20T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","2003015869","SAMN03449126","PRJNA279182","GCA_001718295.1","Complete",6.729,67.6527,"chromosome 1:NZ_CP013360.1/CP013360.1; chromosome 2:NZ_CP013361.1/CP013361.1",,2,5708,"2016-09-02T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2008724734","SAMN06007561","PRJNA352974","GCA_002110945.1","Complete",7.48239,67.8197,"chromosome 1:NZ_CP018380.1/CP018380.1; chromosome 2:NZ_CP018381.1/CP018381.1",,2,6688,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2008724758","SAMN06007562","PRJNA352974","GCA_002111365.1","Complete",7.38379,67.92,"chromosome 1:NZ_CP018382.1/CP018382.1; chromosome 2:NZ_CP018383.1/CP018383.1",,2,7053,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2008724860","SAMN06007563","PRJNA352974","GCA_002111125.1","Complete",7.54266,67.787,"chromosome 1:NZ_CP018384.1/CP018384.1; chromosome 2:NZ_CP018386.1/CP018386.1; plasmid p1:NZ_CP018385.1/CP018385.1",,3,6666,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2011756189","SAMN06007565","PRJNA352974","GCA_002111165.1","Complete",7.34497,67.921,"chromosome 1:NZ_CP018389.1/CP018389.1; chromosome 2:NZ_CP018390.1/CP018390.1",,2,6474,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2011756296","SAMN06007567","PRJNA352974","GCA_002110985.1"," Chromosome",7.30071,67.9647,"chromosome 1:NZ_CP018393.1/CP018393.1; chromosome 2:NZ_CP018394.1/CP018394.1",,2,6102,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013746776","SAMN06007568","PRJNA352974","GCA_002111185.1"," Chromosome",7.37604,67.9736,"chromosome 1:NZ_CP018395.1/CP018395.1; chromosome 2:NZ_CP018397.1/CP018397.1; plasmid p1:NZ_CP018396.1/CP018396.1",,3,6501,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013746777","SAMN06007569","PRJNA352974","GCA_002111205.1","Complete",7.2705,68.0658,"chromosome 1:NZ_CP018398.1/CP018398.1; chromosome 2:NZ_CP018399.1/CP018399.1",,2,6966,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013746811","SAMN06007570","PRJNA352974","GCA_002111225.1","Complete",7.20086,68.1214,"chromosome 1:NZ_CP018400.1/CP018400.1; chromosome 2:NZ_CP018401.1/CP018401.1",,2,6748,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013746877","SAMN06007571","PRJNA352974","GCA_002111245.1","Complete",7.33029,67.9783,"chromosome 1:NZ_CP018402.1/CP018402.1; chromosome 2:NZ_CP018403.1/CP018403.1",,2,6463,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013746878","SAMN06007572","PRJNA352974","GCA_002111005.1","Complete",7.33038,67.9783,"chromosome 1:NZ_CP018404.1/CP018404.1; chromosome 2:NZ_CP018405.1/CP018405.1",,2,7063,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","2013833057","SAMN06007574","PRJNA352974","GCA_002111265.1","Complete",7.3436,67.9224,"chromosome 1:NZ_CP018408.1/CP018408.1; chromosome 2:NZ_CP018409.1/CP018409.1",,2,6491,"2017-04-26T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","202","SAMN14262755","PRJNA609910","GCA_011290465.1","Complete",5.82652,66.8387,"chromosome:NZ_CP049789.1/CP049789.1; plasmid unnamed:NZ_CP049790.1/CP049790.1",,2,4903,"2020-03-14T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","203","SAMN14262754","PRJNA609906","GCA_011290445.1","Complete",5.8202,66.8384,"chromosome:NZ_CP049791.1/CP049791.1; plasmid unnamed:NZ_CP049792.1/CP049792.1",,2,4905,"2020-03-14T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","23344","SAMN02821273","PRJNA244041","GCA_000755865.1","Complete",5.62529,68.4977,"chromosome 1:NZ_CP008704.1/CP008704.1; chromosome 2:NZ_CP008705.1/CP008705.1",,2,4717,"2014-09-18T00:00:00Z"
"Burkholderia glumae","Bacteria;Proteobacteria;Betaproteobacteria","257sh-1","SAMN10913710","PRJNA521805","GCA_009931375.1","Complete",6.69168,68.194,"chromosome 1:NZ_CP035900.1/CP035900.1; chromosome 2:NZ_CP035901.1/CP035901.1; plasmid plas1:NZ_CP035902.1/CP035902.1; plasmid plas2:NZ_CP035903.1/CP035903.1",,4,5556,"2020-01-27T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3000015237","SAMN06007576","PRJNA352974","GCA_002111045.1","Complete",7.31969,67.9783,"chromosome 1:NZ_CP018410.1/CP018410.1; chromosome 2:NZ_CP018411.1/CP018411.1",,2,6174,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3000047530","SAMN06007578","PRJNA352974","GCA_002111285.1","Complete",7.43652,67.9055,"chromosome 1:NZ_CP018414.1/CP018414.1; chromosome 2:NZ_CP018415.1/CP018415.1",,2,6374,"2017-04-26T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3000465972","SAMN06007579","PRJNA352974","GCA_002111305.1","Complete",7.4284,67.9335,"chromosome 1:NZ_CP018416.1/CP018416.1; chromosome 2:NZ_CP018417.1/CP018417.1",,2,6640,"2017-04-26T00:00:00Z"
"Burkholderia thailandensis 34","Bacteria;Proteobacteria;Betaproteobacteria","34","SAMN02697330","PRJNA178704","GCA_000959605.1","Complete",7.1202,67.4379,"chromosome 1:NZ_CP010017.1/CP010017.1; chromosome 2:NZ_CP010018.1/CP010018.1; plasmid unnamed:NZ_CP010016.1/CP010016.1",,3,5991,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","350105","SAMN03799286","PRJNA288389","GCA_001275585.1"," Chromosome",7.12703,68.1201,"chromosome 1:CP012094.1; chromosome 2:CP012093.1",,2,5484,"2015-08-31T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","3921","SAMEA807056","PRJEB6658","GCA_000953095.1","Complete",7.16167,68.1482,"chromosome 1:NZ_LK936442.1/LK936442.1; chromosome 2:NZ_LK936443.1/LK936443.1",,2,6027,"2014-07-11T00:00:00Z"
"Burkholderia pseudomallei 406e","Bacteria;Proteobacteria;Betaproteobacteria","406e","SAMN03010441","PRJNA238550","GCA_000959145.1","Complete",7.27151,68.0654,"chromosome 1:NZ_CP009298.1/CP009298.1; chromosome 2:NZ_CP009297.1/CP009297.1",,2,6084,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei 576","Bacteria;Proteobacteria;Betaproteobacteria","576","SAMN02866333","PRJNA244408","GCA_000756185.1","Complete",7.2666,68.034,"chromosome 1:NZ_CP008777.1/CP008777.1; chromosome 2:NZ_CP008778.1/CP008778.1",,2,6089,"2014-09-18T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","6","SAMN02837932","PRJNA244055","GCA_000755845.1","Complete",5.64777,68.4661,"chromosome 1:NZ_CP008711.1/CP008711.1; chromosome 2:NZ_CP008710.1/CP008710.1",,2,4684,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei 7894","Bacteria;Proteobacteria;Betaproteobacteria","7894","SAMN03075630","PRJNA238559","GCA_000959265.1","Complete",7.38191,67.9208,"chromosome I:NZ_CP009535.1/CP009535.1; chromosome II:NZ_CP009536.1/CP009536.1",,2,6196,"2015-03-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","982","SAMN04011951","PRJNA293915","GCA_001277975.1","Complete",7.18468,68.2076,"chromosome 1:NZ_CP012576.1/CP012576.1; chromosome 2:NZ_CP012577.1/CP012577.1",,2,6430,"2015-09-02T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","9","SAMN02864945","PRJNA244404","GCA_003445415.1","Complete",7.19111,68.1023,"chromosome:CP008753.1; chromosome 1:NZ_CP008755.1/CP008755.1; chromosome 2:NZ_CP008754.1/CP008754.1",,2,7002,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei A79A","Bacteria;Proteobacteria;Betaproteobacteria","A79A","SAMN02951655","PRJNA231210","GCA_000770535.1","Complete",7.27244,68.0346,"chromosome 1:NZ_CP009165.1/CP009165.1; chromosome 2:NZ_CP009164.1/CP009164.1",,2,6114,"2014-10-31T00:00:00Z"
"Burkholderia gladioli","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 10248","SAMN03010439","PRJNA238809","GCA_000959725.1","Complete",8.89946,67.6197,"chromosome 1:NZ_CP009323.1/CP009323.1; chromosome 2:NZ_CP009322.1/CP009322.1; plasmid 1:NZ_CP009321.1/CP009323.1; plasmid 2:NZ_CP009320.1/CP009320.1; plasmid 3:NZ_CP009319.1/CP009319.1",,5,7510,"2015-03-20T16:45:00Z"
"Burkholderia glumae LMG 2196 = ATCC 33617","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 33617","SAMN03012983","PRJNA259679","GCA_000960995.1","Complete",6.82073,68.1733,"chromosome I:NZ_CP009435.1/CP009435.1; chromosome II:NZ_CP009434.1/CP009434.1; plasmid pBIN_1:NZ_CP009433.1/CP009433.1; plasmid pBIN_2:NZ_CP009432.1/CP009432.1",,4,5719,"2015-03-24T00:00:00Z"
"Burkholderia plantarii","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 43733","SAMN04210536","PRJNA237833","GCA_001411805.1","Complete",8.08105,68.5777,"chromosome 1:NZ_CP007212.1/CP007212.1; chromosome 2:NZ_CP007213.1/CP007213.1; plasmid bpln_1p:NZ_CP007214.1/CP007214.1",,3,6715,"2015-10-23T00:00:00Z"
"Paraburkholderia fungorum","Bacteria;Proteobacteria;Betaproteobacteria","ATCC BAA-463","SAMN03174512","PRJNA265859","GCA_000961515.1","Complete",9.05898,61.7706,"chromosome 1:NZ_CP010026.1/CP010026.1; chromosome 2:NZ_CP010027.1/CP010027.1; chromosome 3:NZ_CP010025.1/CP010025.1; plasmid pBIL:NZ_CP010024.1/CP010024.1",,4,7898,"2015-03-24T00:00:00Z"
"Burkholderia glumae AU6208","Bacteria;Proteobacteria;Betaproteobacteria","AU6208","SAMN13567886","PRJNA595825","GCA_009857095.1","Complete",6.53082,68.3857,"chromosome au01:NZ_CP047315.1/CP047315.1; chromosome au02:NZ_CP047316.1/CP047316.1; plasmid pwszb:NZ_CP047317.1/CP047317.1",,3,5352,"2020-01-12T00:00:00Z"
"Burkholderia pseudomallei B03","Bacteria;Proteobacteria;Betaproteobacteria","B03","SAMN02951654","PRJNA231209","GCA_000770455.1","Complete",7.26476,68.0345,"chromosome 1:NZ_CP009151.1/CP009151.1; chromosome 2:NZ_CP009150.1/CP009150.1",,2,6114,"2014-10-31T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","B2","SAMN14262756","PRJNA609907","GCA_011290405.1","Complete",5.92036,66.806,"chromosome:NZ_CP049787.1/CP049787.1; plasmid unnamed:NZ_CP049788.1/CP049788.1",,2,4992,"2020-03-14T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BGK","SAMN02902623","PRJNA244537","GCA_000763555.1"," Chromosome",7.3042,67.9917,"chromosome 1:NZ_CP008916.1/CP008916.1; chromosome 2:NZ_CP008917.1/CP008917.1",,2,6459,"2014-10-06T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BGR","SAMN02866376","PRJNA244419","GCA_000756085.1","Complete",7.23139,68.1604,"chromosome 1:NZ_CP008834.1/CP008834.1; chromosome 2:NZ_CP008835.1/CP008835.1",,2,6142,"2014-09-18T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","BMQ","SAMN02839409","PRJNA244052","GCA_000755885.1","Complete",5.63023,68.4979,"chromosome 1:NZ_CP008723.1/CP008723.1; chromosome 2:NZ_CP008722.1/CP008722.1",,2,4718,"2014-09-18T00:00:00Z"
"Burkholderia pseudomallei BPC006","Bacteria;Proteobacteria;Betaproteobacteria","BPC006","SAMN02603176","PRJNA172945","GCA_000294635.1","Complete",7.15506,68.2204,"chromosome I:NC_018527.1/CP003781.1; chromosome II:NC_018529.1/CP003782.1",,2,6924,"2012-09-05T00:00:00Z"
"Burkholderia thailandensis","Bacteria;Proteobacteria;Betaproteobacteria","BPM","SAMN14351735","PRJNA611888","GCA_011578485.1","Complete",6.60126,67.8049,"chromosome 1:NZ_CP050020.1/CP050020.1; chromosome 2:NZ_CP050021.1/CP050021.1",,2,5499,"2020-03-20T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPs110","SAMN10948535","PRJNA522658","GCA_004323015.1","Complete",6.96233,68.4783,"chromosome 1:NZ_CP036452.1/CP036452.1; chromosome 2:NZ_CP036451.1/CP036451.1",,2,5851,"2019-03-04T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPs111","SAMN10948547","PRJNA522663","GCA_004323035.1","Complete",6.96641,68.4788,"chromosome 1:NZ_CP036454.1/CP036454.1; chromosome 2:NZ_CP036453.1/CP036453.1",,2,5860,"2019-03-04T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPs112","SAMN11125344","PRJNA522658","GCA_004367705.1","Complete",6.94549,68.4784,"chromosome 1:NZ_CP037976.1/CP037976.1; chromosome 2:NZ_CP037975.1/CP037975.1",,2,5801,"2019-03-23T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPs116","SAMN10961418","PRJNA522951","GCA_004348075.1","Complete",6.92022,68.4661,"chromosome 1:NZ_CP037760.1/CP037760.1; chromosome 2:NZ_CP037759.1/CP037759.1",,2,5790,"2019-03-13T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPs122","SAMN11180678","PRJNA528379","GCA_004526325.1","Complete",6.98635,68.4786,"chromosome 1:NZ_CP038195.1/CP038195.1; chromosome 2:NZ_CP038194.1/CP038194.1",,2,5877,"2019-03-31T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BPs133","SAMN11110186","PRJNA522658","GCA_004367725.1","Complete",6.94196,68.4786,"chromosome 1:NZ_CP037972.1/CP037972.1; chromosome 2:NZ_CP037971.1/CP037971.1",,2,5820,"2019-03-23T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","BS001","SAMN02470871","PRJNA157903","GCA_000265115.1","Contig",11.2941,61.8,,"AKAU01",330,9888,"2012-06-05T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","BS007","SAMN06888376","PRJNA385388","GCA_002157295.1","Contig",11.0199,61.9,,"NFVE01",787,9669,"2017-05-24T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","BS110","SAMN06888377","PRJNA385388","GCA_002157285.1","Contig",11.1727,61.8,,"NFVD01",657,9846,"2017-05-24T00:00:00Z"
"Paraburkholderia hospita","Bacteria;Proteobacteria;Betaproteobacteria","BS437","SAMN06888378","PRJNA385388","GCA_002157305.1","Contig",11.2977,61.8,,"NFVC01",842,10008,"2017-05-24T00:00:00Z"
"Burkholderia gladioli BSR3","Bacteria;Proteobacteria;Betaproteobacteria","BSR3","SAMN02603164","PRJNA64503","GCA_000194745.1","Complete",9.0523,67.4147,"chromosome 1:NC_015381.1/CP002599.1; chromosome 2:NC_015376.1/CP002600.1; plasmid bgla_1p:NC_015382.1/CP002601.1; plasmid bgla_2p:NC_015377.1/CP002602.1; plasmid bgla_3p:NC_015378.1/CP002603.1; plasmid bgla_4p:NC_015383.1/CP002604.1",,6,7634,"2011-04-01T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","BSR","SAMN02945026","PRJNA244681","GCA_000755825.1","Complete",7.2727,68.0652,"chromosome 1:NZ_CP009128.1/CP009128.1; chromosome 2:NZ_CP009127.1/CP009127.1",,2,6094,"2014-09-18T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Bahrain1","SAMN05607081","PRJNA342247","GCA_001729545.1","Complete",5.78017,68.5081,"chromosome 1:NZ_CP017175.1/CP017175.1; chromosome 2:NZ_CP017176.1/CP017176.1",,2,5262,"2016-09-16T00:00:00Z"
"Trinickia caryophylli","Bacteria;Proteobacteria;Betaproteobacteria","Ballard 720","SAMN08277009","PRJNA427926","GCA_002879875.1","Contig",6.58085,64.6,,"PNXZ01",158,5626,"2018-01-14T00:00:00Z"
"Trinickia caryophylli","Bacteria;Proteobacteria;Betaproteobacteria","Ballard 720","SAMN06295900","PRJEB20452","GCA_900177465.1","Scaffold",6.54365,64.7,,"FXAH01",49,5622,"2017-04-19T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Bp1651","SAMN03451120","PRJNA274367","GCA_001318245.1","Complete",7.26002,68.1035,"chromosome 1:NZ_CP012041.1/CP012041.1; chromosome 2:NZ_CP012042.1/CP012042.1",,2,6028,"2015-10-16T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Burk178-Type1","SAMN05571215","PRJNA338800","GCA_001887555.1","Complete",7.29095,68.0776,"chromosome 1:NZ_CP016909.1/CP016909.1; chromosome 2:NZ_CP016910.1/CP016910.1",,2,6419,"2016-11-30T00:00:00Z"
"Ralstonia solanacearum CFBP2957","Bacteria;Proteobacteria;Betaproteobacteria","CFBP2957","SAMEA2272283","PRJEA50685","GCA_000197855.1"," Chromosome",3.41739,66.5,"chromosome:FP885897.1",,1,3229,"2010-06-22T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","CFBP 8695","SAMN13639769","PRJNA596809","GCA_009832805.1","Complete",5.11344,66.8064,"chromosome:CP047138.1; plasmid unnamed:CP047139.1",,2,4204,"2020-01-07T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","CFBP 8697","SAMN13633964","PRJNA596668","GCA_009832785.1","Complete",4.89089,67.2358,"chromosome:CP047136.1; plasmid unnamed:CP047137.1",,2,4025,"2020-01-07T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","CIAT_078","SAMN14207021","PRJNA608676","GCA_012562465.1","Complete",5.38932,66.6708,"chromosome:NZ_CP051296.1/CP051296.1; plasmid megaplasmid:NZ_CP051295.1/CP051295.1",,2,4382,"2020-04-20T00:00:00Z"
"Ralstonia solanacearum CMR15","Bacteria;Proteobacteria;Betaproteobacteria","CMR15","SAMEA2272127","PRJEA50681","GCA_000427195.1"," Chromosome",5.59037,66.8006,"chromosome:NC_017559.1/FP885895.1; plasmid CMR15_mp:NC_017589.1/FP885896.1; plasmid pRSC35:NC_017558.1/FP885893.1",,3,4781,"2010-06-22T00:00:00Z"
"Burkholderia gladioli","Bacteria;Proteobacteria;Betaproteobacteria","Co14","SAMN10345356","PRJNA500835","GCA_003713105.1","Complete",8.32052,67.9616,"chromosome 1:NZ_CP033430.1/CP033430.1; chromosome 2:NZ_CP033431.1/CP033431.1; plasmid p1:NZ_CP033429.1/CP033429.1",,3,7089,"2018-11-06T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","D286","SAMN08120362","PRJNA420802","GCA_003547035.1","Complete",7.10231,68.207,"chromosome 1:NZ_CP025306.1/CP025306.1; chromosome 2:NZ_CP025307.1/CP025307.1",,2,6197,"2018-09-12T00:00:00Z"
